Date,Inbound,Outbound
6/3/2020,1191122.96,10092188.5
6/3/2020,1173391.51,8962555.78
6/3/2020,2032778.96,14981109.32
6/3/2020,1881980.19,13840828.15
6/4/2020,1712036.55,14173476.42
6/4/2020,542672.18,9563766.44
6/4/2020,548854.86,6577928.43
6/4/2020,510716.36,4326653.23
6/4/2020,715785.97,5998580.04
6/4/2020,699024.59,5640893.61
6/4/2020,790516.95,6624118.47
6/4/2020,999853.97,8788668.93
6/4/2020,777594.38,7293331.72
6/4/2020,1467607.36,9653223.57
6/4/2020,1109690.74,10346399.4
6/4/2020,1337040.5,11279030.48
6/5/2020,3178650.21,17277523.14
6/5/2020,700657.43,9258775.93
6/5/2020,639423.88,6663180.99
6/5/2020,1007933.74,11579041.61
6/5/2020,1534759.19,8650536.26
6/5/2020,NaN,NaN
